industry_category,stock_id,stock_name,type,date
ETF,00656R,國泰中國A50反1,twse,2025-11-15
ETF,00657,國泰日經225,twse,2025-11-15
ETF,00657K,國泰日經225+U,twse,2025-11-15
ETF,00658L,國泰日本正2,twse,2025-11-07
ETF,00659R,國泰日本反1,twse,2025-11-07
ETF,00660,元大歐洲50,twse,2025-11-15
ETF,00661,元大日經225,twse,2025-11-15
ETF,00662,富邦NASDAQ,twse,2025-11-15
ETF,00663L,國泰臺灣加權正2,twse,2025-11-15
ETF,00664R,國泰臺灣加權反1,twse,2025-11-15
ETF,00665L,富邦恒生國企正2,twse,2025-11-15
ETF,00666R,富邦恒生國企反1,twse,2025-11-15
ETF,00667,元大韓國,twse,2025-11-07
ETF,00668,國泰美國道瓊,twse,2025-11-15
ETF,00668K,國泰美國道瓊+U,twse,2025-11-15
ETF,00669R,國泰美國道瓊反1,twse,2025-11-15
ETF,00670L,富邦NASDAQ正2,twse,2025-11-15
ETF,00671R,富邦NASDAQ反1,twse,2025-11-15
ETF,00672L,元大S&P原油正2,twse,2025-11-07
ETF,00673R,期元大S&P原油反1,twse,2025-11-15
ETF,00674R,期元大S&P黃金反1,twse,2025-11-15
ETF,00675L,富邦臺灣加權正2,twse,2025-11-15
ETF,00676R,富邦臺灣加權反1,twse,2025-11-15
ETF,00677U,期富邦VIX,twse,2025-11-07
ETF,00678,群益那斯達克生技,twse,2025-11-15
上櫃ETF,00679B,元大美債20年,tpex,2025-11-14
上櫃指數股票型基金(ETF),00679B,元大美債20年,tpex,2024-12-31
ETF,00680L,元大美債20正2,twse,2025-11-15
ETF,00681R,元大美債20反1,twse,2025-11-15
ETF,00682U,期元大美元指數,twse,2025-11-15
ETF,00683L,期元大美元指正2,twse,2025-11-15
ETF,00684R,期元大美元指反1,twse,2025-11-15
ETF,00685L,群益臺灣加權正2,twse,2025-11-15
ETF,00686R,群益臺灣加權反1,twse,2025-11-15
上櫃ETF,00687B,國泰20年美債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00687B,國泰20年美債,tpex,2024-12-31
上櫃ETF,00687C,國泰20年美債+櫃U,tpex,2025-11-14
ETF,00688L,國泰20年美債正2,twse,2025-11-15
ETF,00689R,國泰20年美債反1,twse,2025-11-15
ETF,00690,兆豐藍籌30,twse,2025-11-15
ETF,00691R,兆豐藍籌30反1,twse,2025-11-07
ETF,00692,富邦公司治理,twse,2025-11-15
ETF,00693U,期街口S&P黃豆,twse,2025-11-15
上櫃ETF,00694B,富邦美債1-3,tpex,2025-11-14
上櫃指數股票型基金(ETF),00694B,富邦美債1-3,tpex,2024-12-31
上櫃ETF,00695B,富邦美債7-10,tpex,2025-11-14
上櫃指數股票型基金(ETF),00695B,富邦美債7-10,tpex,2024-12-31
